cofog_level1_code,cofog_level2_code,amount
"01","01.1",1629691992
"01","01.2",2138737563
"01","01.3",317207779
"01","01.4",532438112
"01","01.6",400047029
"01","01.7",12448941019
"02","02.1",846021843
"02","02.2",202222087
"02","02.3",59925248
"02","02.5",338432930
"03","03.1",3142737288
"03","03.2",2987512409
"03","03.3",558432445
"03","03.4",517552918
"03","03.5",90000000
"03","03.6",387721329
"03","03.7",171832000
"04","04.1",348073855
"04","04.2",1237988125
"04","04.3",71252781
"04","04.4",16734568
"04","04.5",4225003354
"04","04.6",50296104
"04","04.7",110636186
"04","04.8",9217269
"04","04.9",79996759
"05","05.1",22342313
"05","05.2",242529489
"05","05.3",46054901
"05","05.4",565730570
"05","05.6",106044516
"06","06.1",0
"06","06.2",6955735773
"06","06.3",363293155
"06","06.4",0
"06","06.6",684448
"07","07.3",1572025107
"07","07.4",3263707631
"07","07.6",593807454
"08","08.1",510904178
"08","08.2",205692552
"08","08.3",44867000
"08","08.6",271005889
"09","09.1",8998890097
"09","09.2",1745081982
"09","09.3",1966650845
"09","09.4",172584767
"09","09.5",2164986349
"09","09.6",33395000
"09","09.7",862667645
"010","010.1",628555045
"010","010.2",4924871538
"010","010.3",1014868079
"010","010.4",0
"010","010.5",250445200
"010","010.6",111853970
"010","010.7",238376719
